gene	WT_0.5mM	WT_10mM	arp6_0.5mM	arp6_10mM	cluster_6_pearson	cluster_6_pearson_color
AT3G12050	0.5394735897224188	1.052973848692249	-0.6178841319198218	-0.9745633064948446	3	#BEBADA
AT3G17330	1.2287719272444884	0.40748551120950066	-0.6047266741394196	-1.0315307643145686	3	#BEBADA
AT3G20330	0.48733430031665836	1.018399873583165	-0.7689091337896439	-0.7368250401101807	6	#FDB462
AT3G55420	-0.2978523326184072	-1.0080899746944827	0.6389435279964527	0.6669987793164353	2	#FFFFB3
AT3G08930	1.0422818398967677	0.8270371793729011	-0.8780014358630608	-0.9913175834066067	3	#BEBADA
AT5G64572	-0.06635678224522186	1.0711861580730988	-0.1830509029257506	-0.8217784729021286	6	#FDB462
AT5G49980	0.980227333140059	0.8563246993930079	-0.8313356464827838	-1.0052163860502856	3	#BEBADA
AT2G43780	0.8088317422502042	0.8130801157235888	-1.0321575979342874	-0.5897542600395053	5	#80B1D3
AT2G07475	0.5895128500317754	1.1117298590159903	-0.8315501824996436	-0.8696925265481209	3	#BEBADA
AT1G68300	-0.39107604014558034	-0.7442315114327401	0.5033810289323858	0.6319265226459354	2	#FFFFB3
AT5G08550	0.673774600491238	0.8037829317730952	-0.589726709730392	-0.8878308225339426	3	#BEBADA
AT5G13800	-0.5988261656836427	-0.8934630082063321	1.0153306214074889	0.47695855248248664	1	#8DD3C7
AT4G37870	-0.8912992627253232	-0.9711234950531488	1.0237501822946726	0.8386725754837987	2	#FFFFB3
AT3G03270	-0.7479170485887214	-0.8220330175100771	0.9987198729967233	0.5712301931020732	2	#FFFFB3
AT5G49360	0.6129819053566871	0.992215153977215	-0.7812279508780757	-0.8239691084558274	3	#BEBADA
AT5G01330	-0.6875633718323559	-0.9680886512384237	1.1743585130671927	0.4812935100035875	1	#8DD3C7
AT2G34190	1.0425683329871351	0.729875813018092	-0.9491147664886821	-0.8233293795165462	3	#BEBADA
AT2G39570	0.8811037506005511	0.9900996265547936	-0.8798100168350537	-0.9913933603202904	3	#BEBADA
AT4G35950	1.4028048808021947	0.12634760461933933	-0.9102081355619674	-0.618944349859567	5	#80B1D3
AT1G72416	-0.3704798088896518	-1.0994476216594147	0.6672380422802231	0.8026893882688437	2	#FFFFB3
AT2G39390	0.8909977191836959	0.6527702709639671	-0.7559475603517899	-0.7878204297958727	3	#BEBADA
AT1G15080	-0.552454308594177	-0.8172923129379852	0.8742256286058878	0.49552099292627433	1	#8DD3C7
AT4G25450	0.7992369105252588	0.9767636748337852	-0.7236364399866159	-1.0523641453724268	3	#BEBADA
AT3G59060	0.199879180894367	-1.495554035415127	0.8551129639889135	0.4405618905318464	1	#8DD3C7
AT4G00760	1.132966473107303	0.48227400743985666	-0.722859605048765	-0.8923808754983942	3	#BEBADA
AT2G30580	-0.302545897487343	-1.2474259968807586	1.0637360051020432	0.4862358892660575	1	#8DD3C7
AT5G47080	1.2878353752700977	0.45211075890599156	-0.8741519130380112	-0.8657942211380784	3	#BEBADA
AT5G43310	0.9742944376245095	0.8686372293349023	-0.923318640678273	-0.9196130262811386	3	#BEBADA
AT1G23440	1.1186382250279667	0.691192748455176	-0.8522068139917123	-0.9576241594914311	3	#BEBADA
AT2G26920	0.22597851267120073	-1.167946713051491	0.8256633334760144	0.11630486690427633	1	#8DD3C7
AT1G03090	0.6261590769635498	1.1852730487817476	-0.9524792639303538	-0.8589528618149422	6	#FDB462
AT1G62710	-0.9015997359786572	-0.9055635328164279	0.9223353650362388	0.8848279037588459	2	#FFFFB3
AT2G19940	0.816698365367754	0.9995348466422866	-0.7252700339997525	-1.0909631780102884	3	#BEBADA
AT2G47440	-0.7317684809026922	-0.9171431203710119	0.8881002126548045	0.7608113886189006	1	#8DD3C7
AT1G23950	0.8153325350040085	1.0472376231009275	-0.9387312738504341	-0.9238388842545028	3	#BEBADA
AT5G14610	-0.6645307043617799	-0.9166416127141369	0.9169640698741756	0.6642082472017405	1	#8DD3C7
AT1G07820	1.2277085800141703	0.2247662005287028	-0.6786800639546738	-0.7737947165882018	3	#BEBADA
AT1G11545	-0.5012201518752375	-0.85362507455656	0.9337571634177741	0.4210880630140221	1	#8DD3C7
AT3G22750	0.9831432159486692	0.8532254206961652	-0.9083059954655096	-0.9280626411793257	3	#BEBADA
AT3G27300	1.0274022638732647	0.7489565096450302	-0.731410387344989	-1.0449483861733067	3	#BEBADA
AT5G10010	0.7352813022353756	0.8676817817900607	-0.6172058243521181	-0.9857572596733188	3	#BEBADA
AT1G15180	-1.1424821534312006	-0.5260337414642139	0.6854672576586747	0.9830486372367406	2	#FFFFB3
AT1G25390	0.9033340701962094	0.6158882760141924	-0.6385133145282795	-0.8807090316821214	3	#BEBADA
AT1G24280	-0.5992479641292027	-1.1883805529073552	1.058843110644088	0.7287854063924702	1	#8DD3C7
