gene	arp6_0.5mM_1	arp6_0.5mM_2	arp6_0.5mM_3	WT_10mM_1	WT_10mM_2	WT_10mM_3	arp6_10mM_1	arp6_10mM_2	arp6_10mM_3	WT_0.5mM_1	WT_0.5mM_2	WT_0.5mM_3	cluster_6_pearson	cluster_6_pearson_color
AT1G08100	1.361491876992557	1.8586525061325583	1.4883131654535542	-0.9471555604912743	-0.9080399608360328	-0.9039367871383708	-0.4027069020766533	-0.4177867765988255	-0.28574552865540875	-0.4939704707093406	0.15302114066059772	-0.5021367027333602	1	#8DD3C7
AT2G38540	-0.5264296328476769	-0.5920438445405426	-0.715913775227815	0.5059567776376926	0.031032531004810526	-0.6392222776487905	1.6240554402594234	1.2398118299716445	1.6218864155683608	-0.46645891512172233	-1.0045443046633302	-1.0781302443920506	2	#FFFFB3
AT4G01390	0.7701544324651016	0.9042616529781675	0.660523553554948	-0.9450767787191888	-1.0120270908543447	-0.9258616930623549	-0.902079083180362	-0.8190959281987545	-1.0523883688305042	0.8672081094161399	1.332222268035052	1.1221589263961016	3	#BEBADA
AT4G32950	1.6090276169118807	1.5986444170473852	1.211946376638319	-1.2324159720297045	-1.1315511658608162	-0.9908742889736654	-0.3426680792785694	-0.5163488420852732	-0.23730661175363055	-0.2526103431749667	0.3166158174250067	-0.03245892486596644	1	#8DD3C7
AT4G25100	-0.478002075697434	-0.4792651178752069	-0.5540386563655991	-0.22738562593545886	-0.3541245162024435	-0.3610358149720539	2.387227029862928	0.8829112751579632	1.3620931488274342	-0.7467020385350407	-0.6406470666498898	-0.7910305416151994	2	#FFFFB3
AT5G60770	1.3516814214661512	1.7518365808731955	1.0490141277842666	-1.0989262784106197	-0.9410665447929056	-0.9349089974234103	-0.8294873282541049	-0.5496433626080338	-0.5172804739995297	-0.07849177046602583	0.8753837971032278	-0.07811117127221076	1	#8DD3C7
AT3G45140	-0.38982033431455876	-0.6540969277963463	-0.4336240080084663	1.2322810677256888	-0.6105847973904706	-0.8346957889250695	2.1487176617629014	0.941451551253797	0.5542066644448702	-0.05576373052557053	-1.0698855376249037	-0.8281858206018718	2	#FFFFB3
AT3G54590	1.3968720908696988	1.4380272839420043	1.8068095972852816	-0.931587605220206	-0.9235611754053954	-1.0316281000202427	-0.4475985005861955	-0.13400047842590945	-0.48177477815928843	-0.45910678184757	0.23233149440790582	-0.4647830468400829	1	#8DD3C7
AT5G25610	-1.3889600509251727	-0.40558225705309264	-0.7684363861840646	0.34209843993260125	0.372030934108408	-0.17066056302247476	1.109681737622454	1.2630381153183572	1.7315439640746366	-0.2837612822263691	-0.3984883210243886	-1.4025043306208942	4	#FB8072
AT3G01190	1.183893078290204	1.4001993799549162	1.0132498494282052	-1.0317616714949969	-0.5392150608425144	-0.5753686390631423	-1.3705699269931173	-0.7948779938676027	-0.9429839050324204	0.8471825275813849	0.8946898865594731	-0.0844375245203894	1	#8DD3C7
